Description	Project	Lab	Assay	Data Type	Validation Dataset	Experimental Factor	Replicates	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	Submission ID	GEO/SRA IDs	GFF Files
SDC-2_N2_Mixed_Embryos (JL00005_SDC2_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=sdc-2;AbName=JL0005_SDC2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-02-24	2009-03-24	released	338	GSE22701, GSM562597, GSM562598, GSM562599	computed_peaks/JL00005_SDC2_N2_MXEMB_peaks.gff
Young_Adult_25dC_46hrs_post-L1 RNAseq	Waterston	Waterston	RNA-seq	RNA profiling		Version=2	1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-03-09	2009-11-16	replaced	433 deprecated by 2354	SRX001873	
C. elegans Intron Identification.set.20090106.2_3_2_2_3_2_2_2_2	Waterston	Green	RTPCR	gene model		Reactions=1020;Features=1411	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo	2008-12-02	2009-01-25	released	445		set.20090106.2_3_2_2_3_2_2_2_2.gff
C. elegans Intron Identification set.20090106.2_3_2_2_4_4_3_2_2	Waterston	Green	RTPCR	gene model		Reactions=26;Features=31	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo	2008-12-02	2009-01-25	released	446		set.20090106.2_3_2_2_4_4_3_2_2.gff
C. elegans Intron Identification set.20090106.2_3_2_2_5_3_3_2_2	Waterston	Green	RTPCR	gene model		Reactions=108;Features=187	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo	2008-12-02	2009-01-31	released	447		set.20090106.2_3_2_2_5_3_3_2_2.gff
C. elegans Intron Identification set.20090106.2_3_2_2_4_3_3_2_2	Waterston	Green	RTPCR	gene model		Reactions=4781;Features=7374	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo	2008-12-08	2009-01-25	released	448		set.20090106.2_3_2_2_4_3_3_2_2.gff
embryo panneural tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NW1229	neuron	embryo: embryo	2009-03-23	2009-11-04	released	455	GSE23245, GSM571416, GSM571417, GSM571418	emb-panneural_tars_maxgap30_minrun100_thresh8.26.gff3
embryo all cells reference tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	embryonic cell, organism	embryo: embryo	2009-03-23	2009-11-04	released	456	GSE23246, GSM571419, GSM571420, GSM571421	emb-reference_tars_maxgap30_minrun100_thresh8.60.gff3
embryo intestine tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		JR1130	intestinal cell	embryo: embryo	2009-03-23	2009-11-04	released	457	GSE23247, GSM571422, GSM571423, GSM571424	emb-intestine_tars_maxgap30_minrun100_thresh6.96.gff3
embryo coelomocytes tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		TV1112	coelomocyte	embryo: embryo	2009-03-23	2009-11-04	released	458	GSE23248, GSM571425, GSM571426, GSM571427	emb-coelomocytes_tars_maxgap30_minrun100_thresh7.60.gff3
embryo AVA neurons tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1749	AVA	embryo: embryo	2009-03-23	2009-11-04	released	459	GSE23249, GSM571428, GSM571429, GSM571430	emb-AVA_tars_maxgap30_minrun100_thresh9.17.gff3
L3-L4 PVD & OLL neurons tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=ser-2;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1021	PVD, OLL	larva: L3-L4 molt	2009-03-23	2009-11-19	released	460	GSE23250, GSM571431, GSM571432, GSM571433	L3-L4-PVD_OLL_tars_maxgap30_minrun100_thresh7.00.gff3
L2 reference (mockIP) tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=FLAG;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	organism	larva: L2 larva	2009-03-23	2009-11-19	released	461	GSE23251, GSM571434, GSM571435, GSM571436	L2-reference_tars_maxgap30_minrun100_thresh9.34.gff3
L2 panneural tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=F25B3.3;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		SD1241	neuron	larva: L2 larva	2009-03-23	2009-11-19	released	462	GSE23252, GSM571437, GSM571438, GSM571439	L2-panneural_tars_maxgap30_minrun100_thresh6.42.gff3
L2 intestine tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=ges-1;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		SD1084	intestine	larva: L2 larva	2009-03-23	2009-11-19	released	463	GSE23253, GSM571440, GSM571441, GSM571442	L2-intestine_tars_maxgap30_minrun100_thresh7.88.gff3
L2 excretory cell tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=clh-4;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1598	excretory cell	larva: L2 larva	2009-03-23	2009-11-19	released	464	GSE23254, GSM571443, GSM571444, GSM571445	L2-excretory_cell_tars_maxgap30_minrun100_thresh9.16.gff3
L2 body wall muscle tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=myo-3;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		SD1075	body wall muscle cell	larva: L2 larva	2009-03-23	2009-11-19	released	465	GSE23255, GSM571446, GSM571447, GSM571448	L2-bwm_tars_maxgap30_minrun100_thresh7.60.gff3
L2 GABA neurons tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=C04G2.1;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC1627	AVL, DVB, RME, RIS, DD1, DD2, DD3, DD4, DD5, DD6, VD1, VD2, VD3, VD4, VD5, VD6, VD7, VD8, VD9	larva: L2 larva	2009-03-23	2009-11-19	released	466	GSE23256, GSM571449, GSM571450, GSM571451	L2-GABA_neurons_tars_maxgap30_minrun100_thresh9.50.gff3
embryo dopaminergic neurons tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		BY200	ADE, CEP, dopaminergic neuron	embryo: embryo	2009-03-23	2009-11-04	released	467	GSE23257, GSM571452, GSM571453, GSM571454	emb-dop_tars_maxgap30_minrun100_thresh9.17.gff3
embryo GABA motor neurons tiling array	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		CZ1200	GABAergic neuron, DD neuron, RME, RIS, AVL	embryo: embryo	2009-03-23	2009-11-04	released	468	GSE23258, GSM571455, GSM571456, GSM571457	emb-GABA_tars_maxgap30_minrun100_thresh9.37.gff3
L2 A-class neuron tiling array	Waterston	Miller	tiling array: RNA	transcription		Target=unc-119;AbName=EZview Red FLAG M2 Affinity Gel;Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		NC694	DA neuron, VA neuron, SAB, AVF, pharyngeal neuron, I5	larva: L2 larva	2009-03-23	2009-11-19	released	469	GSE23259, GSM571458, GSM571459, GSM571460	L2-A-class_tars_maxgap30_minrun100_thresh9.25.gff3
embryo body wall muscle tiling array (v2)	Waterston	Miller	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		PD4251	body wall muscle cell	embryo: embryo	2009-03-23	2009-03-23	released	470	GSE23260, GSM571461, GSM571462, GSM571463	emb-bwm-v2_tars_maxgap30_minrun100_thresh8.65.gff3
L2 25dC 14hrs post-L1 N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2009-03-23	2009-08-03	released	472	GSE23261, GSM571464, GSM571465, GSM571466	L2_tars_maxgap30_minrun100_thresh5.59.gff3
L4 25dC 36hrs post-L1 N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2009-03-23	2009-08-03	released	473	GSE23262, GSM571467, GSM571468, GSM571469	L4_tars_maxgap30_minrun100_thresh5.75.gff3
L3 25dC 25hrs post-L1 N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2009-03-23	2009-08-03	released	474	GSE23263, GSM571470, GSM571471, GSM571472	L3_tars_maxgap30_minrun100_thresh5.82.gff3
young adult 25dC 42hrs post-L1 N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-03-23	2009-08-03	released	475	GSE23264, GSM571473, GSM571474, GSM571475	YA_tars_maxgap30_minrun100_thresh5.95.gff3
early embryo 20dC 0-4hrs post-fertilization N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2009-03-23	2009-08-03	released	476	GSE23265, GSM571476, GSM571477, GSM571478	N2EE_tars_maxgap30_minrun100_thresh6.26.gff3
L2 polyA enriched 20dC 14hrs post-L1 N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2009-03-23	2009-08-03	released	477	GSE23266, GSM571479, GSM571480	L2poA_tars_maxgap30_minrun100_thresh9.12.gff3
male L4 25dC 36hrs post-L1 CB4689 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		CB4689	whole organism	larva: L4 larva male	2009-03-23	2009-08-03	released	478	GSE23267, GSM571481, GSM571482, GSM571483	MALE_tars_maxgap30_minrun100_thresh6.46.gff3
late embryo 20dC 6-12hrs post-fertilization N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	whole organism	embryo: elongating embryo, enclosing embryo, fully-elongated embryo, late cleavage stage embryo	2009-03-23	2009-08-03	released	479	GSE23268, GSM571484, GSM571485, GSM571486	N2LE_tars_maxgap30_minrun100_thresh6.48.gff3
Reinke_L1	Waterston	Reinke	tiling array: RNA	transcription		DNAseTreatment=no;Array=25bp;ArrayPlatform=Affymetrix;Version=2	1		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2009-09-23	2009-03-24	replaced	480 deprecated by 484	GSE23270, GSM571490, GSM571491, GSM571492	L1-NDT_tars_maxgap30_minrun100_thresh7.64.gff3
gonad from young adult 20dC 42hrs post-L1 N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1		Caenorhabditis elegans		N2	hermaphrodite gonad	larva: newly molted young adult hermaphrodite	2009-03-23	2009-08-03	released	481	GSE23269, GSM571487, GSM571488, GSM571489	GON_tars_maxgap30_minrun100_thresh7.11.gff3
Reinke_JKL4	Waterston	Reinke	tiling array: RNA	transcription		DNAseTreatment=no;Array=25bp;ArrayPlatform=Affymetrix;Version=2	1		Caenorhabditis elegans		JK1107	whole organism	larva: L4 larva	2009-09-23	2009-03-24	replaced	482 deprecated by 485	GSE23271, GSM571493, GSM571494, GSM571495	JKL4-NDT_tars_maxgap30_minrun100_thresh5.39.gff3
L1 20dC 0hrs post-L1 N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		DNAseTreatment=no;Array=25bp;ArrayPlatform=Affymetrix;Version=2	1		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2009-03-23	2009-03-24	released	484	GSE23270, GSM571490, GSM571491, GSM571492	L1-NDT_tars_maxgap30_minrun100_thresh7.64.gff3
soma-only mid-L4 25dC 36hrs post-L1 JK1107 tiling array	Waterston	Reinke	tiling array: RNA	transcription		DNAseTreatment=no;Array=25bp;ArrayPlatform=Affymetrix;Version=2	1		Caenorhabditis elegans		JK1107	whole organism	larva: L4 larva	2009-03-23	2009-03-24	released	485	GSE23271, GSM571493, GSM571494, GSM571495	JKL4-NDT_tars_maxgap30_minrun100_thresh5.39.gff3
pathogen Pluminscens 25dC 24hr exposure post-adulthood N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1	EnvironmentalTreatment=food:P. luminescens (Hb)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-03-23	2009-08-03	released	486	GSE23272, GSM571496, GSM571497, GSM571498	Pl-24_tars_maxgap30_minrun100_thresh7.08.gff3
pathogen Efaecalis 25dC 24hr exposure post-adulthood N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1	EnvironmentalTreatment=food:E. faecalis (OG1RF)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-03-23	2009-08-03	released	487	GSE23273, GSM571499, GSM571500	Ef-24_tars_maxgap30_minrun100_thresh7.13.gff3
pathogen Smarcescens 25dC 48hr exposure post-adulthood N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1	EnvironmentalTreatment=food:S. marcescens (Db11)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-03-23	2009-08-03	released	488	GSE23274, GSM571501, GSM571502, GSM571503	Db-48_tars_maxgap30_minrun100_thresh7.33.gff3
pathogen Smarcescens 25dC 24hr exposure post-adulthood N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1	EnvironmentalTreatment=food:S. marcescens (Db11)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-03-23	2009-08-03	released	489	GSE23275, GSM571504, GSM571505, GSM571506	Db-24_tars_maxgap30_minrun100_thresh5.95.gff3
pathogen control OP50 25dC 48hr exposure post-adulthood N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1	EnvironmentalTreatment=food:E. coli (OP50)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-03-23	2009-08-03	released	490	GSE23276, GSM571507, GSM571508, GSM571509	OP50-48_tars_maxgap30_minrun100_thresh6.06.gff3
pathogen control OP50 25dC 24hr exposure post-adulthood N2 tiling array	Waterston	Reinke	tiling array: RNA	transcription		Array=25bp;ArrayPlatform=Affymetrix	1	EnvironmentalTreatment=food:E. coli (OP50)	Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2009-03-23	2009-08-03	released	491	GSE23277, GSM571510, GSM571511, GSM571512	OP50-24_tars_maxgap30_minrun100_thresh5.57.gff3
3'UTRome CEUP1 sequences, alignments, annotation	Piano	Piano	RACE	gene model		Reactions=2694	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo, larva	2009-04-21	2009-05-13	released	515		UTRome_ABI.WS180.CEUP1.20090422.gff3
SDC-3_N2_MXEMB_1A_(JL00002_SDC3_N2_MXEMB_1_A)	Lieb	Lieb	ChIP-chip	chromatin		Target=sdc-3;AbName=JL00002_SDC3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-05-05	2009-05-29	released	553	GSE22702, GSM562600	
SDC-3_N2_MXEMB_1B_(JL00002_SDC3_N2_MXEMB_1_B)	Lieb	Lieb	ChIP-chip	chromatin		Target=sdc-3;AbName=JL00002_SDC3;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-05-06	2009-05-29	released	575	GSE22703, GSM562601	
DPY-27_N2_MXEMB_1A_(JL00001_DPY27_N2_MXEMB_1_A)	Lieb	Lieb	ChIP-chip	chromatin		Target=dpy-27;AbName=JL00001_DPY27;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2009-05-07	2009-05-29	released	578	GSE22704, GSM562602	
Snyder_PHA4_GFP_emb	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=eGFP	4		Caenorhabditis elegans		OP37	whole organism	embryo: embryo	2009-05-27	2009-05-28	released	582	GSM363861	Snyder_PHA4_GFP_emb_combined_peaks.GFF3
Snyder_PHA4_StarvedL1_GFP	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=eGFP	4		Caenorhabditis elegans		OP37	whole organism	larva: L1 larva	2009-05-27	2009-06-02	released	584	GSM363863	Snyder_PHA4_GFP_Starved-L1_combined_peaks.GFF3
Snyder_PHA4_GFP_FedL1	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=eGFP	4		Caenorhabditis elegans		OP37	whole organism	larva: L1 larva	2009-05-27	2009-06-02	released	585		Snyder_PHA4_GFP_FedL1_combined_peaks.GFF3
Snyder_PHA4_POLII_emb	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=RNA polymerase II	4		Caenorhabditis elegans		OP37	whole organism	embryo: embryo	2009-05-27	2009-06-02	released	586	GSM363861	Snyder_PHA4_POLII_emb_combined_peaks.GFF3
Snyder_PHA4_POLII_FedL1	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=RNA polymerase II	4		Caenorhabditis elegans		OP37	whole organism	larva: L1 larva	2009-05-27	2009-06-02	released	587		Snyder_PHA4_POLII_FedL1_combined_peaks.GFF3
Snyder_PHA4_StarvedL1_POLII	Snyder	Snyder	ChIP-seq	chromatin		Target=pha-4;AbName=RNA polymerase II	4		Caenorhabditis elegans		OP37	whole organism	larva: L1 larva	2009-05-27	2009-06-02	released	588	GSM363863	Snyder_PHA4_POLII_Starved-L1_combined_peaks.GFF3
Snyder_AMA1_GFP_L4YA	Snyder	Snyder	ChIP-seq	chromatin		Target=ama-1;AbName=eGFP	4		Caenorhabditis elegans		OP34	whole organism	larva: L4 larva, L4-adult molt, newly molted young adult hermaphrodite	2009-05-27	2009-05-29	released	589	GSM389310	Snyder_AMA1_GFP_L4YA_combined_peaks.GFF3
Snyder_AMA1_POLII_L4YA	Snyder	Snyder	ChIP-seq	chromatin		Target=ama-1;AbName=RNA polymerase II	4		Caenorhabditis elegans		OP34	whole organism	larva: L4 larva, L4-adult molt, newly molted young adult hermaphrodite	2009-05-27	2009-05-29	released	590	GSM389310	Snyder_AMA1_POLII_L4YA_combined_peaks.GFF3
Snyder_DAF16_GFP_L4YA	Snyder	Snyder	ChIP-seq	chromatin		Target=daf-16;AbName=eGFP	4		Caenorhabditis elegans		TJ356	whole organism	larva: L4 larva, L4-adult molt, newly molted young adult hermaphrodite	2009-05-27	2009-06-02	released	591	GSM389648	Snyder_DAF16_GFP_L4YA_combined_peaks.GFF3
Snyder_DAF16_POLII_L4YA	Snyder	Snyder	ChIP-seq	chromatin		Target=daf-16;AbName=RNA polymerase II	4		Caenorhabditis elegans		TJ356	whole organism	larva: L4 larva, L4-adult molt, newly molted young adult hermaphrodite	2009-05-27	2009-06-02	released	592	GSM389648	Snyder_DAF16_POLII_L4YA_combined_peaks.GFF3
Snyder_MAB5_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=mab-5;AbName=eGFP	4		Caenorhabditis elegans		OP26	whole organism	larva: L3 larva	2009-05-27	2009-05-29	released	593	GSM391227	Snyder_MAB5_GFP_L3_combined_peaks.GFF3
Snyder_MAB5_POLII_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=mab-5;AbName=RNA polymerase II	4		Caenorhabditis elegans		OP26	whole organism	larva: L3 larva	2009-05-27	2009-05-29	released	594	GSE25781, GSM677599, GSM677600, GSM677601, GSM677602	Snyder_MAB5_POLII_L3_combined_peaks.GFF3
POL-2_N2_L4_(CVMMS126R_8WG16_N2_L4)	Lieb	Lieb	ChIP-chip	chromatin		Target=ama-1;AbName=8WG16;Array=86bp40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2009-06-08	2009-07-24	released	599	GSE22705, GSM562603, GSM562604, GSM562605, GSM562606, GSM562607	
DPY-27_N2_L4(JL00001_DPY27_N2_L4)	Lieb	Lieb	ChIP-chip	chromatin		Target=dpy-27;AbName=JL00001_DPY27;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2009-06-11	2009-07-24	released	630	GSE22706, GSM562608, GSM562609, GSM562610, GSM562611	
