Submission ID	Project	Lab	Organism	Status	Data Type	Assay	Tissue	Strain	Cell Line	Stage/Treatment	Antibody	Compound	Platform	RNAi Target	Date Data Submitted	Release Date	GEO/SRA IDs	Name	GFF Files
99	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		adult stage			Affymetrix		2008-09-23	2009-01-28	GSE16298, GSM409556, GSM409557, GSM409558	Dm_y[1]cn[1] bw[1] sp[1]_adult_Male_5dayPostEclosion_TotalRNA_p200_380-382-384_38bp	Dro2_AS_DroAdM-Ecl+5day_756.gff
100	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		larval stage, third instar larval stage			Affymetrix		2008-09-23	2009-01-28	GSE16299, GSM409559, GSM409560, GSM409561	Dm_y[1]cn[1] bw[1] sp[1]_larval_L3_gut_stage1_TotalRNA_p200_440-442-444_38bp	Dro2_AS_L3-larvae-dark-blue_RW_789.gff
101	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 1, embryonic stage 2, pre-blastoderm stage			Affymetrix		2008-09-23	2009-01-28	GSE16300, GSM409562, GSM409563, GSM409564	Dm_y[1]cn[1] bw[1] sp[1]_embryo_0-2h_TotalRNA_p200_212-214-216_38bp	Dro2_AS_Dm_emb_2h_578.gff
102	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 1, embryonic stage 2, pre-blastoderm stage			Affymetrix		2008-09-23	2009-01-28	GSE16301, GSM409565, GSM409566, GSM409567	Dm_y[1]cn[1] bw[1] sp[1]_embryo_0-2h_poly-Ap_p200_403-404-405_38bp	Dro2_AS_Dm_emb_2h_RWP+_579.gff
103	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, late extended germ band stage			Affymetrix		2008-09-23	2009-01-29	GSE16302, GSM409568, GSM409569, GSM409570	Dm_y[1]cn[1] bw[1] sp[1]_embryo_8-10h_TotalRNA_p200_236-238-240_38bp	Dro2_AS_Dm_emb_10h_724.gff
104	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, late extended germ band stage			Affymetrix		2008-09-23	2009-01-29	GSE16303, GSM409571, GSM409572, GSM409573	Dm_y[1]cn[1] bw[1] sp[1]_embryo_8-10h_poly-Ap_p200_415-416-417_38bp	Dro2_AS_Dm_emb_10h_RW+_725.gff
105	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 13, embryonic stage 14, embryonic stage 15			Affymetrix		2008-09-23	2009-01-28	GSE16304, GSM409574, GSM409575, GSM409576	Dm_y[1]cn[1] bw[1] sp[1]_embryo_10-12h_TotalRNA_p200_242-244-246_38bp	Dro2_AS_Dm_emb_12h_726.gff
106	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 13, embryonic stage 14, embryonic stage 15			Affymetrix		2008-09-23	2009-01-27	GSE16305, GSM409577, GSM409578, GSM409579	Dm_y[1]cn[1] bw[1] sp[1]_embryo_10-12h_poly-Ap_p200_418-419-420_38bp	Dro2_AS_Dm_emb_12h_RW+_727.gff
107	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		dorsal closure stage, embryonic stage, embryonic stage 15, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage			Affymetrix		2008-09-23	2009-01-27	GSE16306, GSM409580, GSM409581, GSM409582	Dm_y[1]cn[1] bw[1] sp[1]_embryo_12-14h_TotalRNA_p200_248-250-252_38bp	Dro2_AS_Dm_emb_14h_722.gff
108	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		dorsal closure stage, embryonic stage, embryonic stage 15, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage			Affymetrix		2008-09-23	2008-09-23	GSE16307, GSM409583, GSM409584, GSM409585	Dm_y[1]cn[1] bw[1] sp[1]_embryo_12-14h_poly-Ap_p200_421-422-423_38bp	Dro2_AS_Dm_emb_14h_RW+_684.gff
109	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage			Affymetrix		2008-09-23	2009-01-29	GSE16308, GSM409586, GSM409587, GSM409588	Dm_y[1]cn[1] bw[1] sp[1]_embryo_14-16h_TotalRNA_p200_254-256-258_38bp	Dro2_AS_Dm_emb_16h_654.gff
110	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage			Affymetrix		2008-09-23	2009-03-02	GSE16309, GSM409589, GSM409590	Dm_y[1]cn[1] bw[1] sp[1]_embryo_14-16h_poly-Ap_p200_424-425_38bp	Dro2_AS_Dm_emb_16h_RW+_787.gff
111	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 17, fertilized egg stage, late embryonic stage, unfertilized egg stage			Affymetrix		2008-09-23	2009-01-31	GSE16310, GSM409591, GSM409592, GSM409593	Dm_y[1]cn[1] bw[1] sp[1]_embryo_16-18h_TotalRNA_p200_260-262-264_38bp	Dro2_AS_Dm_emb_18h_685.gff
112	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 17, fertilized egg stage, late embryonic stage, unfertilized egg stage			Affymetrix		2008-09-23	2009-01-29	GSE16311, GSM409594, GSM409595, GSM409596	Dm_y[1]cn[1] bw[1] sp[1]_embryo_16-18h_poly-Ap_p200_427-428-429_38bp	Dro2_AS_Dm_emb_18h_RW+_723.gff
113	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 17, late embryonic stage			Affymetrix		2008-09-23	2009-01-29	GSE16312, GSM409597, GSM409598, GSM409599	Dm_y[1]cn[1] bw[1] sp[1]_embryo_18-20h_TotalRNA_p200_266-268-270_38bp	Dro2_AS_Dm_emb_20h_686.gff
114	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 17, late embryonic stage			Affymetrix		2008-09-23	2009-03-02	GSE16313, GSM409600, GSM409601	Dm_y[1]cn[1] bw[1] sp[1]_embryo_18-20h_poly-Ap_p200_431-432_38bp	Dro2_AS_Dm_emb_20h_686.gff
115	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 17			Affymetrix		2008-09-23	2009-01-31	GSE16314, GSM409602, GSM409603, GSM409604	Dm_y[1]cn[1] bw[1] sp[1]_embryo_20-22h_poly-Ap_p200_433-434-435_38bp	Dro2_AS_Dm_emb_22h_RW+_689.gff
116	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 17			Affymetrix		2008-09-23	2009-03-02	GSE16315, GSM409605, GSM409606	Dm_y[1]cn[1] bw[1] sp[1]_embryo_20-22h_TotalRNA_p200_274-276_38bp	Dro2_AS_Dm_emb_22h_RW_728.gff
117	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 17, late embryonic stage			Affymetrix		2008-09-23	2009-01-29	GSE16316, GSM409607, GSM409608, GSM409609	Dm_y[1]cn[1] bw[1] sp[1]_embryo_22-24h_TotalRNA_p200_278-280-282_38bp	Dro2_AS_Dm_emb_24h_658.gff
118	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		early extended germ band stage, embryonic stage, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9			Affymetrix		2008-09-23	2009-01-31	GSE16317, GSM409610, GSM409611, GSM409612	Dm_y[1]cn[1] bw[1] sp[1]_embryo_2-4h_TotalRNA_p200_218-220-222_38bp	Dro2_AS_Dm_emb_4h_649.gff
119	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		early extended germ band stage, embryonic stage, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9			Affymetrix		2008-09-23	2009-01-29	GSE16318, GSM409613, GSM409614, GSM409615	Dm_y[1]cn[1] bw[1] sp[1]_embryo_2-4h_poly-Ap_p200_406-407-408_38bp	Dro2_AS_Dm_emb_4h_RWP+_650.gff
120	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		early extended germ band stage, embryonic stage 10, embryonic stage 11, embryonic stage 9, extended germ band stage, late extended germ band stage			Affymetrix		2008-09-23	2009-01-29	GSE16319, GSM409616, GSM409617, GSM409618	Dm_y[1]cn[1] bw[1] sp[1]_embryo_4-6h_TotalRNA_p200_224-226-228_38bp	Dro2_AS_Dm_emb_6h_651.gff
121	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		early extended germ band stage, embryonic stage 10, embryonic stage 11, embryonic stage 9, extended germ band stage, late extended germ band stage			Affymetrix		2008-09-23	2009-01-29		Dm_y[1]cn[1] bw[1] sp[1]_embryo_4-6h_poly-Ap_p200_409-410-411_38bp	Dro2_AS_Dm_emb_6h_RWP+_652.gff
122	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 11, embryonic stage 12, extended germ band stage, late extended germ band stage			Affymetrix		2008-09-23	2009-01-29	GSE16320, GSM409619, GSM409620, GSM409621	Dm_y[1]cn[1] bw[1] sp[1]_embryo_6-8h_poly-Ap_p200_412-413-414_38bp	Dro2_AS_Dm_emb_8h_RWP+_653.gff
139	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryonic/larval hemocyte	N/A	mbn2	late embryonic stage			Affymetrix		2008-10-10	2009-01-27	GSE16321, GSM409622, GSM409623, GSM409624	Dm_mbn2_TotalRNA_p200_044-046-048_38bp	Dro2_AS_mbn2_791.gff
140	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	CME W2	third instar larval stage			Affymetrix		2008-10-10	2009-01-27	GSE16322, GSM409625, GSM409626, GSM409627	Dm_CME_W2_TotalRNA_p200_460-462-464_38bp	Dro2_AS_CME-W2_786.gff
201	Karpen	Pirrotta	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	fly_genes:His4:CG31611		Affymetrix		2008-08-15	2009-04-08		H4AcTetra.S2	repset.3211344.smoothedM.clusters.gff3
214	Celniker	Brent	Drosophila melanogaster	released	splice sites, transcription/coding junctions, alignments, trace reads, gene models, EST alignments	RTPCR	ventral prothoracic disc	N/A	CME L1	third instar larval stage			N/A		2008-04-23	2008-04-23		DMG1 RTPCR	DMG1_RTPCR.gff
215	Celniker	Brent	Drosophila melanogaster	released	splice sites, transcription/coding junctions, alignments, trace reads, gene models, EST alignments	RTPCR	ventral prothoracic disc	N/A	CME L1	third instar larval stage			N/A		2008-06-03	2008-06-03		DMG2 RTPCR	DMG2_RTPCR.gff3
267	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	Kc167	late embryonic stage			Affymetrix		2009-02-10	2009-04-21	GSE16323, GSM409628, GSM409629, GSM409630	Dm_Kc167_nuclearRNA_p200_475-476-477_38bp	Dro2_AS_Kc167_RNu_881.gff
268	Celniker	Gingeras	Drosophila melanogaster	released	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	Kc167	late embryonic stage			Affymetrix		2009-02-10	2009-04-21	GSE16324, GSM409631, GSM409632, GSM409633	Dm_Kc167_polyApRNA_p200_145-146-147_38bp	Dro2_AS_Kc167_RWP+_731.gff
274	Karpen	Pirrotta	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	fly_genes:BEAF-32		Affymetrix		2009-02-12	2009-10-12		BEAF-HB.S2	repset.4620885.smoothedM.clusters.gff3
275	Karpen	Kuroda	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	fly_genes:Chro		Affymetrix		2009-02-12	2009-10-12		Chro(Chriz)BR.BG3	repset.4620431.smoothedM.clusters.gff3
276	Karpen	Kuroda	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage	fly_genes:Chro		Affymetrix		2009-02-12	2009-10-12		Chro(Chriz)BR.Clone_8	repset.4620313.smoothedM.clusters.gff3
277	Karpen	Kuroda	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	fly_genes:Chro		Affymetrix		2009-02-12	2009-10-12		Chro(Chriz)BR.Kc	repset.4620425.smoothedM.clusters.gff3
278	Karpen	Kuroda	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	fly_genes:Chro		Affymetrix		2009-02-12	2009-10-12		Chro(Chriz)BR.S2	repset.3833938.smoothedM.clusters.gff3
279	Karpen	Kuroda	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	fly_genes:Chro		Affymetrix		2009-02-12	2009-10-12		Chro(Chriz)WR.S2	repset.3833943.smoothedM.clusters.gff3
280	Karpen	Pirrotta	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	fly_genes:Cp190		Affymetrix		2009-02-12	2009-10-12		CP190-VC.S2	repset.4621849.smoothedM.clusters.gff3
282	Karpen	Pirrotta	Drosophila melanogaster	released	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	fly_genes:CTCF		Affymetrix		2009-02-12	2009-10-12		CTCF-VC.BG3	repset.4621686.smoothedM.clusters.gff3
