ID	Project	Lab	Organism	Data Type	Experiment Type	Tissue	Strain	Cell Line	Stage	Antibody	Creation Date	Release Date	GEO IDs	Name
54	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	eye-antenna disc-derived cell-line	N/A	ML-DmD11	third instar larval stage		2009-09-17	2009-09-24	GSE16276, GSM409491, GSM409492, GSM409493	Dm_ML-DmD11_TotalRNA_p200_170-172-174_38bp
55	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD17-c3	third instar larval stage		2009-09-17	2009-09-24	GSE16277, GSM409494, GSM409495, GSM409496	Dm_DmD17-c3_TotalRNA_p200_194-196-198_38bp
56	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	antenna disc-derived cell-line	N/A	ML-DmD20-c2	third instar larval stage		2009-09-17	2009-09-24	GSE16278, GSM409497, GSM409498, GSM409499	Dm_DmD20-c2_TotalRNA_p200_182-184-186_38bp
57	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	antenna disc-derived cell-line	N/A	ML-DmD20-c5	third instar larval stage		2009-09-17	2009-09-24	GSE16279, GSM409500, GSM409501, GSM409502	Dm_DmD20-c5_TotalRNA_p200_188-190-192_38bp
58	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD21	third instar larval stage		2009-09-17	2009-09-24	GSE16280, GSM409503, GSM409504, GSM409505	Dm_DmD21_TotalRNA_p200_050-052-054_38bp
59	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD32	third instar larval stage		2009-09-17	2009-09-24	GSE16281, GSM409506, GSM409507, GSM409508	Dm_DmD32_TotalRNA_p200_164-166-168_38bp
60	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	imaginal disc-derived cell-line	N/A	ML-DmD4-c1	third instar larval stage		2009-09-17	2009-09-24	GSE16282, GSM409509, GSM409510, GSM409511	Dm_DmD4-c1_TotalRNA_p200_140-142-144_38bp
61	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD8	third instar larval stage		2009-09-17	2009-09-24	GSE16283, GSM409512, GSM409513, GSM409514	Dm_DmD8_TotalRNA_p200_206-208-210_38bp
62	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD9	third instar larval stage		2009-09-17	2009-09-24	GSE16284, GSM409515, GSM409516, GSM409517	Dm_DmD9_TotalRNA_p200_072-074-076_38bp
63	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S1	late embryonic stage		2009-09-17	2009-09-24	GSE16285, GSM409518, GSM409519, GSM409520	Dm_S1_TotalRNA_p200_026-028-030_38bp
64	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage		2009-09-17	2009-09-24	GSE16286, GSM409521, GSM409522, GSM409523	Dm_S2-DRSC_TotalRNA_p200_014-016-018_38bp
65	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S2R+	late embryonic stage		2009-09-17	2009-09-24	GSE16287, GSM409524, GSM409525, GSM409526	Dm_S2Rp_TotalRNA_p200_020-022-024_38bp
66	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	S3	late embryonic stage		2009-09-17	2009-09-24	GSE16288, GSM409527, GSM409528, GSM409529	Dm_S3_TotalRNA_p200_104-106-108_38bp
67	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	Sg4	late embryonic stage		2009-09-17	2009-09-24	GSE16289, GSM409530, GSM409531, GSM409532	Dm_Sg4_TotalRNA_p200_200-202-204_38bp
69	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	ML-DmD16-c3	third instar larval stage		2009-09-17	2009-09-24	GSE16290, GSM409533, GSM409534, GSM409535	Dm_DmD16-c3_TotalRNA_p200_138-136-138_38bp
93	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		first instar larval stage, larval stage		2009-09-17	2009-09-24	GSE16292, GSM409538, GSM409539, GSM409540	Dm_y[1]cn[1] bw[1] sp[1]_larval_L1_TotalRNA_p200_284-286-288_38bp
94	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		larval stage, second instar larval stage		2009-09-22	2009-09-24	GSE16293, GSM409541, GSM409542, GSM409543	Dm_y[1]cn[1] bw[1] sp[1]_larval_L2_TotalRNA_p200_290-292-294_38bp
95	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		prepupal stage, prepupal stage P1		2009-09-22	2009-09-24	GSE16294, GSM409544, GSM409545, GSM409546	Dm_y[1]cn[1] bw[1] sp[1]_prepupa_WhitePrePupae_TotalRNA_p200_326-328-330_38bp
96	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		adult stage		2009-09-22	2009-09-24	GSE16295, GSM409547, GSM409548, GSM409549	Dm_y[1]cn[1] bw[1] sp[1]_adult_Female_1dayPostEclosion_TotalRNA_p200_374-376-378_38bp
97	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		adult stage		2009-09-22	2009-09-24	GSE16296, GSM409550, GSM409551, GSM409552	Dm_y[1]cn[1] bw[1] sp[1]_adult_Female_5dayPostEclosion_TotalRNA_p200_386-388-390_38bp
98	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		adult stage		2009-09-22	2009-09-24	GSE16297, GSM409553, GSM409554, GSM409555	Dm_y[1]cn[1] bw[1] sp[1]_adult_Male_1dayPostEclosion_TotalRNA_p200_368-370-372_38bp
99	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		adult stage		2009-09-22	2009-09-24	GSE16298, GSM409556, GSM409557, GSM409558	Dm_y[1]cn[1] bw[1] sp[1]_adult_Male_5dayPostEclosion_TotalRNA_p200_380-382-384_38bp
100	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array						2009-09-22	2009-09-24	GSE16299, GSM409559, GSM409560, GSM409561	Dm_y[1]cn[1] bw[1] sp[1]_larval_L3_gut_stage1_TotalRNA_p200_440-442-444_38bp
101	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 1, embryonic stage 2, pre-blastoderm stage		2009-09-22	2009-09-24	GSE16300, GSM409562, GSM409563, GSM409564	Dm_y[1]cn[1] bw[1] sp[1]_embryo_0-2h_TotalRNA_p200_212-214-216_38bp
102	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 1, embryonic stage 2, pre-blastoderm stage		2009-09-22	2009-09-24	GSE16301, GSM409565, GSM409566, GSM409567	Dm_y[1]cn[1] bw[1] sp[1]_embryo_0-2h_poly-Ap_p200_403-404-405_38bp
103	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, late extended germ band stage		2009-09-22	2009-09-24	GSE16302, GSM409568, GSM409569, GSM409570	Dm_y[1]cn[1] bw[1] sp[1]_embryo_8-10h_TotalRNA_p200_236-238-240_38bp
104	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, late extended germ band stage		2009-09-22	2009-09-24	GSE16303, GSM409571, GSM409572, GSM409573	Dm_y[1]cn[1] bw[1] sp[1]_embryo_8-10h_poly-Ap_p200_415-416-417_38bp
105	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 13, embryonic stage 14, embryonic stage 15		2009-09-22	2009-09-24	GSE16304, GSM409574, GSM409575, GSM409576	Dm_y[1]cn[1] bw[1] sp[1]_embryo_10-12h_TotalRNA_p200_242-244-246_38bp
106	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 13, embryonic stage 14, embryonic stage 15		2009-09-22	2009-09-24	GSE16305, GSM409577, GSM409578, GSM409579	Dm_y[1]cn[1] bw[1] sp[1]_embryo_10-12h_poly-Ap_p200_418-419-420_38bp
107	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		dorsal closure stage, embryonic stage, embryonic stage 15, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage		2009-09-22	2009-09-24	GSE16306, GSM409580, GSM409581, GSM409582	Dm_y[1]cn[1] bw[1] sp[1]_embryo_12-14h_TotalRNA_p200_248-250-252_38bp
108	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		dorsal closure stage, embryonic stage, embryonic stage 15, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage		2009-09-22	2009-09-24	GSE16307, GSM409583, GSM409584, GSM409585	Dm_y[1]cn[1] bw[1] sp[1]_embryo_12-14h_poly-Ap_p200_421-422-423_38bp
109	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage		2009-09-22	2009-09-24	GSE16308, GSM409586, GSM409587, GSM409588	Dm_y[1]cn[1] bw[1] sp[1]_embryo_14-16h_TotalRNA_p200_254-256-258_38bp
110	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 16, fertilized egg stage, late embryonic stage, unfertilized egg stage		2009-09-22	2009-09-24	GSE16309, GSM409589, GSM409590	Dm_y[1]cn[1] bw[1] sp[1]_embryo_14-16h_poly-Ap_p200_424-425_38bp
111	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 17, fertilized egg stage, late embryonic stage, unfertilized egg stage		2009-09-22	2009-09-24	GSE16310, GSM409591, GSM409592, GSM409593	Dm_y[1]cn[1] bw[1] sp[1]_embryo_16-18h_TotalRNA_p200_260-262-264_38bp
112	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 17, fertilized egg stage, late embryonic stage, unfertilized egg stage		2009-09-22	2009-09-24	GSE16311, GSM409594, GSM409595, GSM409596	Dm_y[1]cn[1] bw[1] sp[1]_embryo_16-18h_poly-Ap_p200_427-428-429_38bp
113	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 17, late embryonic stage		2009-09-22	2009-09-24	GSE16312, GSM409597, GSM409598, GSM409599	Dm_y[1]cn[1] bw[1] sp[1]_embryo_18-20h_TotalRNA_p200_266-268-270_38bp
114	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		egg stage, embryonic stage, embryonic stage 17, late embryonic stage		2009-09-22	2009-09-24	GSE16313, GSM409600, GSM409601	Dm_y[1]cn[1] bw[1] sp[1]_embryo_18-20h_poly-Ap_p200_431-432_38bp
115	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 17		2009-09-22	2009-09-24	GSE16314, GSM409602, GSM409603, GSM409604	Dm_y[1]cn[1] bw[1] sp[1]_embryo_20-22h_poly-Ap_p200_433-434-435_38bp
116	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 17		2009-09-22	2009-09-24	GSE16315, GSM409605, GSM409606	Dm_y[1]cn[1] bw[1] sp[1]_embryo_20-22h_TotalRNA_p200_274-276_38bp
117	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage, embryonic stage 17, late embryonic stage		2009-09-22	2009-09-24	GSE16316, GSM409607, GSM409608, GSM409609	Dm_y[1]cn[1] bw[1] sp[1]_embryo_22-24h_TotalRNA_p200_278-280-282_38bp
118	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		early extended germ band stage, embryonic stage, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9		2009-09-22	2009-09-24	GSE16317, GSM409610, GSM409611, GSM409612	Dm_y[1]cn[1] bw[1] sp[1]_embryo_2-4h_TotalRNA_p200_218-220-222_38bp
119	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		early extended germ band stage, embryonic stage, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9		2009-09-22	2009-09-24	GSE16318, GSM409613, GSM409614, GSM409615	Dm_y[1]cn[1] bw[1] sp[1]_embryo_2-4h_poly-Ap_p200_406-407-408_38bp
120	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		early extended germ band stage, embryonic stage 10, embryonic stage 11, embryonic stage 9, extended germ band stage, late extended germ band stage		2009-09-22	2009-09-24	GSE16319, GSM409616, GSM409617, GSM409618	Dm_y[1]cn[1] bw[1] sp[1]_embryo_4-6h_TotalRNA_p200_224-226-228_38bp
121	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		early extended germ band stage, embryonic stage 10, embryonic stage 11, embryonic stage 9, extended germ band stage, late extended germ band stage		2009-09-22	2009-09-24		Dm_y[1]cn[1] bw[1] sp[1]_embryo_4-6h_poly-Ap_p200_409-410-411_38bp
122	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	whole organism	y; cn bw sp		embryonic stage 11, embryonic stage 12, extended germ band stage, late extended germ band stage		2009-09-22	2009-09-24	GSE16320, GSM409619, GSM409620, GSM409621	Dm_y[1]cn[1] bw[1] sp[1]_embryo_6-8h_poly-Ap_p200_412-413-414_38bp
139	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryonic/larval hemocyte	N/A	mbn2	late embryonic stage		2009-09-22	2009-09-24	GSE16321, GSM409622, GSM409623, GSM409624	Dm_mbn2_TotalRNA_p200_044-046-048_38bp
140	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	dorsal mesothoracic disc	N/A	CME W2	third instar larval stage		2009-09-22	2009-09-24	GSE16322, GSM409625, GSM409626, GSM409627	Dm_CME_W2_TotalRNA_p200_460-462-464_38bp
146	Celniker	Brent	Drosophila sp., Drosophila melanogaster	splice sites, transcription/coding junctions, gene models, transcript fragments, EST alignments, cDNA alignments, natural_transposable_element	Computational annotation	N/A	N/A	N/A	N/A	N/A	2008-09-01	2009-10-08		MB5
201	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H4acTetra	2009-09-18	2009-10-12		H4AcTetra.S2
214	Celniker	Brent	Drosophila melanogaster	splice sites, transcription/coding junctions, alignments, trace reads, gene models, EST alignments	RTPCR	ventral prothoracic disc	N/A	CME L1	third instar larval stage		2008-04-23	2009-10-08		DMG1 RTPCR
215	Celniker	Brent	Drosophila melanogaster	splice sites, transcription/coding junctions, alignments, trace reads, gene models, EST alignments	RTPCR	ventral prothoracic disc	N/A	CME L1	third instar larval stage		2008-06-03	2009-10-08		DMG2 RTPCR
266	Celniker	Brent	Drosophila sp., Drosophila arizonae, Drosophila simulans, Drosophila melanogaster	splice sites, transcription/coding junctions, gene models, transcript fragments, EST alignments, cDNA alignments, natural_transposable_element	Computational annotation	N/A	N/A	N/A	N/A	N/A	2009-02-09	2009-10-08		DMG3
267	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	Kc167	late embryonic stage		2009-09-22	2009-09-23	GSE16323, GSM409628, GSM409629, GSM409630	Dm_Kc167_nuclearRNA_p200_475-476-477_38bp
268	Celniker	Gingeras	Drosophila melanogaster	transcript fragments	RNA tiling array	embryo-derived cell-line	N/A	Kc167	late embryonic stage		2009-09-22	2009-09-23	GSE16324, GSM409631, GSM409632, GSM409633	Dm_Kc167_polyApRNA_p200_145-146-147_38bp
274	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	BEAF32A and BEAF32B	2009-09-18	2009-10-12		BEAF-HB.S2
275	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	Chriz	2009-09-18	2009-10-12		Chro(Chriz)BR.BG3
276	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage	Chriz	2009-09-18	2009-10-12		Chro(Chriz)BR.Clone_8
277	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	Chriz	2009-09-18	2009-10-12		Chro(Chriz)BR.Kc
278	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	Chriz	2009-09-18	2009-10-12		Chro(Chriz)BR.S2
279	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	Chriz	2009-09-18	2009-10-12		Chro(Chriz)WR.S2
280	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	CP190	2009-09-18	2009-10-12		CP190-VC.S2
282	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	CTCF	2009-09-18	2009-10-12		CTCF-VC.BG3
283	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	CTCF	2009-09-18	2009-10-12		CTCF-VC.S2
284	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	Ez	2009-09-18	2009-10-12		Ez.S2
285	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	GAF	2009-09-18	2009-10-12		GAF.S2
288	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H2Bubi	2009-09-18	2009-10-12		H2B-ubiq (NRO3).BG3
289	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	H2Bubi	2009-09-18	2009-10-12		H2B-ubiq (NRO3).Kc
290	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H2Bubi	2009-09-18	2009-10-12		H2B-ubiq (NRO3).S2
291	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H3K18ac	2009-09-18	2009-10-12		H3K18ac.BG3
292	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K18ac	2009-09-18	2009-10-12		H3K18ac.S2
293	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H3K23ac	2009-09-18	2009-10-12		H3K23ac.BG3
294	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K23ac	2009-09-18	2009-10-12		H3K23ac.S2
295	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H3K27ac	2009-09-18	2009-10-12		H3K27Ac.BG3
296	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K27ac	2009-09-18	2009-10-12		H3K27Ac.S2
297	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H3K27Me3	2009-09-18	2009-10-12		H3K27Me3 (Abcam2).BG3
298	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K27Me3	2009-09-18	2009-10-12		H3K27me3 (Abcam2).S2
299	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H3K36me1	2009-09-18	2009-10-12		H3K36me1.BG3
301	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	H3K36me3	2009-09-18	2009-10-12		H3K36me3.BG3
