Submission ID	Project	Lab	Organism	Status	Data Type	Assay	Tissue	Strain	Cell Line	Stage/Treatment	Antibody	Compound	Platform	RNAi Target	Date Data Submitted	Release Date	GEO/SRA IDs	Name
462	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, neuron	SD1241		L2 larva	F25B3.3		Affymetrix		2009-09-23	2009-11-07		L2 panneural tiling array
463	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, intestine	SD1084		L2 larva	ges-1		Affymetrix		2009-09-23	2009-11-07		L2 intestine tiling array
464	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, excretory cell	NC1598		L2 larva	clh-4		Affymetrix		2009-09-23	2009-11-07		L2 excretory cell tiling array
465	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, body wall muscle cell	SD1075		L2 larva	myo-3		Affymetrix		2009-09-23	2009-11-07		L2 body wall muscle tiling array
466	Waterston	Miller	Caenorhabditis elegans	loaded	transcript fragments, signal data	ChIP-chip	whole organism, AVL, DVB, RME, RIS, DD1, DD2, DD3, DD4, DD5, DD6, VD1, VD2, VD3, VD4, VD5, VD6, VD7, VD8, VD9	NC1627		L2 larva	dpy-5		Affymetrix		2009-09-23	2009-11-07		L2 GABA neurons tiling array
467	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, ADE, CEP, dopaminergic neuron	BY200, dopaminergic motor neurons		embryo			Affymetrix		2009-09-23	2009-11-04		embryo dopaminergic neurons tiling array
468	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, GABAergic neuron, DD neuron, RME, RIS, AVL	CZ1200, GABAergic cells		embryo			Affymetrix		2009-09-23	2009-11-04		embryo GABA motor neurons tiling array
469	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, DA neuron, VA neuron, SAB, AVF, pharyngeal neuron, I5	NC694		L2 larva	unc-119		Affymetrix		2009-09-23	2009-11-07		L2 A-class neuron tiling array
470	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, body wall muscle cell	PD4251, body wall muscle		embryo			Affymetrix		2009-09-23	2009-11-04		embryo body wall muscle tiling array (v2)
472	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		L2 larva			Affymetrix		2009-03-23	2009-08-03		L2 25dC 14hrs post-L1 N2 tiling array
473	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		L4 larva			Affymetrix		2009-03-23	2009-08-03		L4 25dC 36hrs post-L1 N2 tiling array
474	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		L3 larva			Affymetrix		2009-03-23	2009-08-03		L3 25dC 25hrs post-L1 N2 tiling array
475	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		newly molted young adult hermaphrodite			Affymetrix		2009-03-23	2009-08-03		young adult 25dC 42hrs post-L1 N2 tiling array
476	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		blastula embryo, gastrulating embryo			Affymetrix		2009-03-23	2009-08-03		early embryo 20dC 0-4hrs post-fertilization N2 tiling array
477	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		L2 larva			Affymetrix		2009-03-23	2009-08-03		L2 polyA enriched 20dC 14hrs post-L1 N2 tiling array
478	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	CB4689, N2		L4 larva male			Affymetrix		2009-03-23	2009-08-03		male L4 25dC 36hrs post-L1 CB4689 tiling array
479	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		elongating embryo, enclosing embryo, fully-elongated embryo, late cleavage stage embryo			Affymetrix		2009-03-23	2009-08-03		late embryo 20dC 6-12hrs post-fertilization N2 tiling array
481	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, hermaphrodite gonad	N2		newly molted young adult hermaphrodite			Affymetrix		2009-03-23	2009-08-03		gonad from young adult 20dC 42hrs post-L1 N2 tiling array
484	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		L1 larva			Affymetrix		2009-03-23	2009-03-24		L1 20dC 0hrs post-L1 N2 tiling array
485	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	JK1107		L4 larva			Affymetrix		2009-03-23	2009-03-24		soma-only mid-L4 25dC 36hrs post-L1 JK1107 tiling array
486	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		newly molted young adult hermaphrodite			Affymetrix		2009-03-23	2009-08-03		pathogen Pluminscens 25dC 24hr exposure post-adulthood N2 tiling array
487	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		newly molted young adult hermaphrodite			Affymetrix		2009-03-23	2009-08-03		pathogen Efaecalis 25dC 24hr exposure post-adulthood N2 tiling array
488	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		newly molted young adult hermaphrodite			Affymetrix		2009-03-23	2009-08-03		pathogen Smarcescens 25dC 48hr exposure post-adulthood N2 tiling array
489	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		newly molted young adult hermaphrodite			Affymetrix		2009-03-23	2009-08-03		pathogen Smarcescens 25dC 24hr exposure post-adulthood N2 tiling array
490	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		newly molted young adult hermaphrodite			Affymetrix		2009-03-23	2009-08-03		pathogen control OP50 25dC 48hr exposure post-adulthood N2 tiling array
491	Waterston	Reinke	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism	N2		newly molted young adult hermaphrodite			Affymetrix		2009-03-23	2009-08-03		pathogen control OP50 25dC 24hr exposure post-adulthood N2 tiling array
515	Piano	Piano	Caenorhabditis elegans	tracks found	transcription/coding junctions, alignments, trace reads, gene models, EST alignments, polyA_site, three_prime_RST, three_prime_UST, three_prime_RACE_clone	RTPCR, RACE, Computational annotation	whole organism	N2		L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo, larva			N/A		2009-04-21	2009-11-04		3'UTRome CEUP1 sequences, alignments, annotation
582	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	OP37		embryo	pha-4		N/A		2009-05-27	2009-11-02	GSM363861	Snyder_PHA4_GFP_emb
585	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	OP37		L1 larva	pha-4		N/A		2009-05-27	2009-11-02		Snyder_PHA4_GFP_FedL1
586	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	OP37		embryo	pha-4		N/A		2009-05-27	2009-11-02	GSM363861	Snyder_PHA4_POLII_emb
587	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	OP37		L1 larva	pha-4		N/A		2009-05-27	2009-11-02		Snyder_PHA4_POLII_FedL1
589	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	OP37		L4 larva, L4-adult molt, newly molted young adult hermaphrodite	pha-4		N/A		2009-05-27	2009-11-02	GSM363861	Snyder_AMA1_GFP_L4YA
590	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	OP37		L4 larva, L4-adult molt, newly molted young adult hermaphrodite	pha-4		N/A		2009-05-27	2009-11-02	GSM363861	Snyder_AMA1_POLII_L4YA
591	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	TJ356		L4 larva, L4-adult molt, newly molted young adult hermaphrodite	daf-16		N/A		2009-05-27	2009-11-02	GSM389648	Snyder_DAF16_GFP_L4YA
592	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	TJ356		L4 larva, L4-adult molt, newly molted young adult hermaphrodite	daf-16		N/A		2009-05-27	2009-11-02	GSM389648	Snyder_DAF16_POLII_L4YA
593	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	OP37		L3 larva	pha-4		N/A		2009-05-27	2009-11-02	GSM363861	Snyder_MAB5_GFP_L3
594	Snyder	Snyder	Caenorhabditis elegans	tracks found	chromatin binding site signal data	ChIP-seq	whole organism	OP37		L3 larva	pha-4		N/A		2009-05-27	2009-11-02	GSM363861	Snyder_MAB5_POLII_L3
634	Waterston	Slack	Caenorhabditis elegans	released	alignments	RNA-seq	whole organism	N2		embryo			N/A		2009-06-15	2009-06-23	GSM336052	small RNA N2 embryos RNA-seq
635	Waterston	Slack	Caenorhabditis elegans	released	alignments	RNA-seq	whole organism	N2		L1 larva			N/A		2009-06-15	2009-06-23	GSM336055	small RNA N2 mid-L1 RNA-seq
636	Waterston	Slack	Caenorhabditis elegans	released	alignments	RNA-seq	whole organism	N2		L2 larva			N/A		2009-06-15	2009-06-23	GSM336056	small RNA N2 mid-L2 RNA-seq
637	Waterston	Slack	Caenorhabditis elegans	released	alignments	RNA-seq	whole organism	N2		L3 larva			N/A		2009-06-15	2009-06-23	GSM336058	small RNA N2 mid-L3 RNA-seq
638	Waterston	Slack	Caenorhabditis elegans	released	alignments	RNA-seq	whole organism	N2		L4 larva			N/A		2009-06-15	2009-06-23	GSM336059	small RNA N2 mid-L4 RNA-seq
639	Waterston	Slack	Caenorhabditis elegans	released	alignments	RNA-seq	whole organism	N2		newly molted young adult hermaphrodite			N/A		2009-06-15	2009-06-23	GSM336060	small RNA N2 young adult RNA-seq
640	Waterston	Slack	Caenorhabditis elegans	released	alignments	RNA-seq	whole organism	CB4689		adult male			N/A		2009-06-15	2009-06-23	GSM336086	small RNA him-8 males RNA-seq
654	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, DA neuron, SAB, I5	NC300, unc-4 expressing neurons (embryonic stage)		embryo			Affymetrix		2009-09-25	2009-11-04		embryo A-class motor neurons tiling array
655	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, dopaminergic neuron	NC1700		L3-L4 molt	dat-1		Affymetrix		2009-09-25	2009-11-07		L3-L4 dopaminergic neuron tiling array
656	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, organism	N2		newly molted young adult hermaphrodite	FLAG		Affymetrix		2009-09-25	2009-11-07		Young Adult reference (mockIP) tiling array
657	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, coelomocyte	NC1668		L2 larva	unc-122		Affymetrix		2009-09-25	2009-11-07		L2 coelomocytes tiling array
658	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, RMD, SMD, URY, AIB, AVA, AVB, AVD, AVE, AVG, PVC, PVQ, RIM	NC1842		L2 larva	glr-1		Affymetrix		2009-09-25	2009-11-07		L2 glutamate receptor expressing neurons tiling array
659	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, organism	N2		L3-L4 molt	FLAG		Affymetrix		2009-09-25	2009-11-07		L3-L4 reference (mockIP) tiling array
660	Waterston	Miller	Caenorhabditis elegans	tracks found	transcript fragments, signal data	ChIP-chip	whole organism, CEPshDR, CEPshVR, CEPshVL	OS3991		newly molted young adult hermaphrodite	hlh-17		Affymetrix		2009-09-25	2009-11-07		Young Adult Cephalic sheath (CEPsh) tiling array
661	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, germ line precursor cell	SS747, germ line precursor cells (GLP)		embryo			Affymetrix		2009-09-25	2009-11-04		embryo germline precursor cells tiling array
662	Waterston	Miller	Caenorhabditis elegans	released	transcript fragments, signal data	RNA tiling array	whole organism, hypodermal cell	DM8001, hypodermal cells		embryo			Affymetrix		2009-09-25	2009-11-04		embryo hypodermal cells tiling array
734	Snyder	Snyder	Caenorhabditis elegans	finding tracks failed	chromatin binding site signal data	ChIP-seq	whole organism	OP73		L2 larva	Enhanced Green Fluorescent Protein		N/A		2009-10-13	2009-10-22		Snyder_CEH-14_GFP_L2
896	Piano	Piano	Caenorhabditis elegans	released	raw sequences	RNA-seq	whole organism	N2		L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo			N/A		2009-09-17	2009-11-04	GSM443959	3'UTR 454 sequencing pilot - Level 1
897	Lieb	Strome	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	MRG1, No Antibody Control		Nimblegen		2009-09-22	2009-11-06		SDQ0790_MRG1_N2_EEMB
909	Lieb	Strome	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K36me3, No Antibody Control		Nimblegen		2009-09-22	2009-11-06		HK00012_H3K36ME22C3_N2_EEMB
911	Lieb	Strome	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	MES4, No Antibody Control		Nimblegen		2009-09-22	2009-11-06		SDQ0791_MES4_N2_EEMB
973	Lieb	Strome	Caenorhabditis elegans	loaded	chromatin binding site signal data	ChIP-chip	whole organism	N2		blastula embryo, gastrulating embryo	H3K36me3, No Antibody Control		Nimblegen		2009-09-22	2009-11-06		Histone_H3K36me3_N2_EEMB_(HK00001_H3K36ME313C9_N2_EEMB)
982	Lieb	Strome	Caenorhabditis elegans	uploaded	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K9me3, No Antibody Control		Nimblegen		2009-09-22	2009-11-09		HK00009_H3K9ME32F3_N2_EEMB
992	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	N2		L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo			N/A		2009-09-29	2009-11-06	GSM443959	3' UTR 454 sequencing pilot - alignments
2304	Waterston	Green	Caenorhabditis elegans	released	splice sites, alignments, trace reads, EST alignments	RACE	whole organism	N2		L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo			N/A		2009-09-21	2009-09-27		Intron Confirmation Chromosome II 2009-09-21
2311	Lieb	Strome	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K4me3, No Antibody Control		Nimblegen		2009-09-22	2009-11-06		WA30534819_H3K4ME3_N2_EEMB
2312	Lieb	Strome	Caenorhabditis elegans	loaded	chromatin binding site signal data	ChIP-chip	whole organism	N2		blastula embryo, gastrulating embryo	histone H3, No Antibody Control		Nimblegen		2009-09-23	2009-11-06		Histone_H3_N2_EEMB_1_(AR0144_H3144_N2_EEMB)
2313	Lieb	Strome	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		blastula embryo, gastrulating embryo	Histone H3, No Antibody Control		Nimblegen		2009-09-24	2009-11-05		AB1791_H3609253_N2_EEMB
2321	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	N2		blastula embryo, gastrulating embryo			N/A		2009-09-29	2009-11-04	SRX004863, SRX004864	RNAseq - early embryo sequences & alignments
2324	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	N2		elongating embryo, enclosing embryo, fully-elongated embryo, late cleavage stage embryo			N/A		2009-09-29	2009-10-29	SRX004865, SRX004866	RNAseq - late embryo 20dC 4.5hrs post-early embryo sequences & alignments
2325	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	CB4689, N2		L4 larva male			N/A		2009-09-29	2009-10-27	SRX004868	RNAseq - male mid-L4 dpy28(y1);him-8(e1489) 25dC 30hrs post-L1 sequences & alignments
2326	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	N2		L1 larva			N/A		2009-09-29	2009-11-04	SRX004867	RNAseq - mid-L1 20dC 4hrs post-L1 sequences & alignments
2327	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	N2		L1 larva			N/A		2009-09-29	2009-11-09	GSM446652	3' UTR Staged 454 Sequencing - L1 - alignments
2328	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	N2		L2 larva			N/A		2009-09-29	2009-11-06	GSM446653	3' UTR Staged 454 Sequencing - L2 - alignments
2329	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	N2		L3 larva			N/A		2009-09-29	2009-11-06	GSM446654	3' UTR Staged 454 Sequencing - L3 - alignments
2330	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	N2		L4 larva			N/A		2009-09-29	2009-11-06	GSM446655	3' UTR Staged 454 Sequencing - L4 - alignments
2331	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	N2		embryo			N/A		2009-09-29	2009-11-09	GSM446651	3' UTR Staged 454 Sequencing - embryo - alignments
2332	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	N2		adult			N/A		2009-09-29	2009-11-09	GSM446656	3' UTR Staged 454 Sequencing - hermaphrodite adult - alignments
2333	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	CB1489		adult male			N/A		2009-09-29	2009-11-06	GSM446657	3' UTR Staged 454 Sequencing - male adult - alignments
2334	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	DR47		dauer larva			N/A		2009-09-29	2009-11-03	GSM446661	3' UTR Staged 454 Sequencing - daf-11 - alignments
2335	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	CB1370		dauer larva			N/A		2009-09-29	2009-11-06	GSM446658	3' UTR Staged 454 Sequencing - daf-2 - alignments
2336	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	CB1372		dauer larva			N/A		2009-09-29	2009-11-06	GSM446659	3' UTR Staged 454 Sequencing - daf-7 - alignments
2337	Piano	Piano	Caenorhabditis elegans	tracks configured	alignments	Alignment	whole organism	DR2281		dauer larva			N/A		2009-09-29	2009-11-06	GSM446660	3' UTR Staged 454 Sequencing - daf-9 - alignments
2338	Lieb	Strome	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K36me2, No Antibody Control		Nimblegen		2009-09-30	2009-11-06		AB9049_H3K36ME2608457_N2_EEMB
2339	Lieb	Strome	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K9me3, No Antibody Control		Nimblegen		2009-09-30	2009-11-06		AB8898_H3K9ME3339901_N2_EEMB
2343	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	MT10430		L1 larva			N/A		2009-09-30	2009-11-04	SRX004869	RNAseq - lin-35(n745) mid-L1 25dC 4.0hrs post-L1 sequences & alignments
2345	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	BA671		adult			N/A		2009-09-30	2009-11-04	SRX008136	RNAseq - Adult spe-9 23dC 8days post-L4 molt sequences & alignment
2346	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	CB1489		embryo			N/A		2009-09-30	2009-11-04	SRX011569	RNAseq - embryo him-8 20dC post-L1 sequences & alignments
2347	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	CB1370		dauer larva			N/A		2009-09-30	2009-10-29	SRX008138	RNAseq - dauer daf-2 25dC 91hrs post-L1 sequences & alignments
2349	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	CB1370		post dauer stage			N/A		2009-09-30	2009-10-28	SRX008140	RNAseq - dauer exit daf-2 25dC 91hrs 15dC 12hrs post-L1 sequences & alignments
2351	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	N2		L2 larva			N/A		2009-10-01	2009-10-29	SRX001872	RNAseq - mid-L2 20dC 14hrs post-L1 sequences & alignments
2352	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	N2		L3 larva			N/A		2009-10-01	2009-10-27	SRX001875	RNAseq - mid-L3 20dC 25hrs post-L1 sequences & alignments
2353	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	N2		L4 larva			N/A		2009-10-01	2009-10-27	SRX001874	RNAseq - mid-L4 20dC 36hrs post-L1 sequences & alignments
2354	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	N2		newly molted young adult hermaphrodite			N/A		2009-10-01	2009-10-26	SRX001873	RNAseq - Young Adult 25dC 46hrs post-L1 sequences & alignment
2364	Lieb	Strome	Caenorhabditis elegans	uploaded	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	No Antibody Control		Nimblegen		2009-10-01	2009-11-09		NA_N2_EEMB
2382	Lieb	Strome	Caenorhabditis elegans	uploaded	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	na, No Antibody Control		Nimblegen		2009-10-02	2009-11-09		SS00050_IGG_N2_EEMB
2387	Waterston	Waterston	Caenorhabditis elegans	tracks configured	alignments, signal data	RNA-seq	whole organism	CB1370		L2d-dauer molt			N/A		2009-10-02	2009-10-28	SRX008139	RNAseq - dauer entry daf-2 25dC 48hrs post-L1 sequences & alignments
2398	Lieb	Ahringer	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K9me3, No Antibody Control		Nimblegen		2009-10-07	2009-11-06		HK00009_H3K9ME32F3_N2_L3
2399	Lieb	Ahringer	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K36me3, No Antibody Control		Nimblegen		2009-10-07	2009-11-06		HK00012_H3K36ME22C3_N2_L3
2400	Lieb	Ahringer	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K27me3, No Antibody Control		Nimblegen		2009-10-08	2009-11-06		HK00013_H3K27ME31E7_N2_L3
2401	Lieb	Ahringer	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K36me3, No Antibody Control		Nimblegen		2009-10-08	2009-11-06		HK00001_H3K36ME313C9_N2_L3
2402	Lieb	Ahringer	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K4me2, No Antibody Control		Nimblegen		2009-10-08	2009-11-06		WA30834809_H3K4ME2_N2_L3
2406	Lieb	Ahringer	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K9me2, No Antibody Control		Nimblegen		2009-10-11	2009-11-06		HK00008_H3K9ME26D11_N2_L3
2407	Lieb	Ahringer	Caenorhabditis elegans	uploaded	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	histone H3, No Antibody Control		Nimblegen		2009-10-11	2009-11-09		AR0144_H3144_N2_L3
2408	Lieb	Ahringer	Caenorhabditis elegans	uploaded	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	histone H3, No Antibody Control		Nimblegen		2009-10-11	2009-11-09		AR0144_H3144_N2_L3_LM
2409	Lieb	Ahringer	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	Histone H3, No Antibody Control		Nimblegen		2009-10-12	2009-11-06		AB1791_H3_N2_L3_new
2410	Lieb	Lieb	Caenorhabditis elegans	validated	chromatin binding site signal data	ChIP-chip	whole organism	N2		embryo	H3K4me3, No Antibody Control		Nimblegen		2009-10-12	2009-11-06		AB2886_H3K79ME1361912_N2_EEMB
